YÝL,BOLGE_KODU,BOLGE_ADÝ,TOPLAM_URT,TOPLAM_TK,HÝDROLÝK_URT,RESMÝ_DAÝRE_TK,SANAYÝ_ÝSLETME_TK,TERMAL_URT,TÝCARETHANE_TK,MESKEN_TK,TARIMSAL_SULAMA_TK,SANTÝYE_TK,SOKAK_AYDÝNLATMA_TK,DIGER_TK,KÝSÝBASÝ_TOPLAM_TK,KÝSÝBASÝ_SANAYÝ_TK,KÝSÝBASÝ_MESKEN_TK,LAT,LON
1999,TR721,Kayseri,137.6,1387313,92.2,31189,859657,45.4,72447,307671,27358,6009,56003,26979,,,,38.73222,35.48528
2000,TR721,Kayseri,137.7,1424655,92.3,39646,819580,45.4,76236,334613,25925,9009,57401,62245,,,,38.73222,35.48528
2001,TR721,Kayseri,137.7,1429842,92.3,30849,859671,45.4,83251,331876,40165,6073,50943,27014,,,,38.73222,35.48528
2002,TR721,Kayseri,150.9,1475192,95.7,27021,848916,55.2,86966,335498,38760,,53916,84115,,,,38.73222,35.48528
2003,TR721,Kayseri,150.9,1646453,95.7,27958,983445,55.2,97054,346245,51806,,57822,82123,,,,38.73222,35.48528
2004,TR721,Kayseri,95.7,1788784,95.7,28298,1082718,,112496,372050,50319,,59366,83537,,,,38.73222,35.48528
2005,TR721,Kayseri,409.3,2114106,195.6,27473,1307019,213.7,145872,418877,50649,,59390,104827,,,,38.73222,35.48528
2006,TR721,Kayseri,,2250441,,30058,1395060,,167648,432141,49207,,58942,117385,,,,38.73222,35.48528
2007,TR721,Kayseri,,2346471,,32377,1389880,,220846,477522,64075,,55784,105987,2014,1193,410,38.73222,35.48528
2008,TR721,Kayseri,,2328363,,30509,1258885,,244448,522672,74415,,64354,133081,1966,1063,441,38.73222,35.48528
2009,TR721,Kayseri,,2273296,,29130,1194781,,244556,534889,63341,,76927,129670,1885,991,444,38.73222,35.48528
2010,TR721,Kayseri,,2828059,,29432,1452813,,269065,572158,72268,,81697,350626,2291,1177,463,38.73222,35.48528
2011,TR721,Kayseri,,2887964,,29110,1512622,,240904,628875,78939,,85821,311692,2301,1205,501,38.73222,35.48528
2012,TR721,Kayseri,,2899079,,31336,1478843,,295306,642861,92257,,85925,272552,2274,1160,504,38.73222,35.48528
2013,TR721,Kayseri,,2976722,,137151,1465962,,330994,649292,93611,,88966,210747,2298,1132,501,38.73222,35.48528
2014,TR721,Kayseri,,3106873,,115484,1591655,,340406,654906,101419,,96877,206126,2349,1204,495,38.73222,35.48528
2015,TR721,Kayseri,,3087788,,59839,1582104,,344127,717137,48966,,103581,232034,2303,1180,535,38.73222,35.48528
1995,TR722,Sivas,420,587693,120,15304,393302,300,18703,78456,553,4281,41893,35201,,,,39.74833,37.01611
1996,TR722,Sivas,420,543862,120,17022,105684,300,16807,126235,311,3812,34939,239052,,,,39.74833,37.01611
1997,TR722,Sivas,420.2,401565,120.2,19848,187242,300,19720,132333,419,4322,37169,512,,,,39.74833,37.01611
1998,TR722,Sivas,420.2,439333,120.2,21749,221581,300,21834,131454,376,4358,37093,888,,,,39.74833,37.01611
1999,TR722,Sivas,422.3,453506,122.3,22491,212703,300,25846,149443,819,4051,37403,750,,,,39.74833,37.01611
2000,TR722,Sivas,597.4,496384,140.4,31695,237802,457,30651,152175,827,3276,38127,1831,,,,39.74833,37.01611
2001,TR722,Sivas,613.4,491486,156.4,28772,138374,457,31263,155311,934,3086,44582,89164,,,,39.74833,37.01611
2002,TR722,Sivas,613.4,496547,156.4,31131,203920,457,35053,161924,1610,,44202,18707,,,,39.74833,37.01611
2003,TR722,Sivas,613.4,500761,156.4,32389,203030,457,38809,170810,2267,,44375,9081,,,,39.74833,37.01611
2004,TR722,Sivas,613.4,554694,156.4,32686,224569,457,48628,175054,3850,,48979,20928,,,,39.74833,37.01611
2005,TR722,Sivas,613.4,724446,156.4,37152,364907,457,55372,196813,4412,,48480,17309,,,,39.74833,37.01611
2006,TR722,Sivas,,844976,,35338,434045,,71287,209877,6778,,52569,35081,,,,39.74833,37.01611
2007,TR722,Sivas,,979436,,38518,534311,,76478,222113,12104,,55420,40492,1534,837,348,39.74833,37.01611
2008,TR722,Sivas,,990740,,57179,492115,,84503,240450,18033,,56696,41764,1570,780,381,39.74833,37.01611
2009,TR722,Sivas,,1049812,,47792,561956,,89024,252641,7979,,54183,36238,1658,887,399,39.74833,37.01611
2010,TR722,Sivas,,1121969,,49261,620392,,108740,252425,14509,,44450,32191,1747,966,393,39.74833,37.01611
2011,TR722,Sivas,,1152140,,57912,621679,,106105,262378,17752,,42310,44004,1837,991,418,39.74833,37.01611
2012,TR722,Sivas,,1158280,,38067,601360,,120848,273034,20914,,40738,63317,1858,964,438,39.74833,37.01611
2013,TR722,Sivas,,1227276,,42575,643291,,145004,274086,23886,,43385,55049,1967,1031,439,39.74833,37.01611
2014,TR722,Sivas,,1248822,,9521,644825,,218761,277873,27093,,52789,17961,2004,1035,446,39.74833,37.01611
2015,TR722,Sivas,,1237247,,9923,598006,,254272,278241,29644,,51334,15829,2000,967,450,39.74833,37.01611
1995,TR723,Yozgat,,252309,,4770,117478,,9661,73092,1391,1879,29306,14732,,,,39.82,34.80444
1996,TR723,Yozgat,,269428,,22217,114031,,10869,82647,1632,1880,34155,1997,,,,39.82,34.80444
1997,TR723,Yozgat,,289836,,5673,121400,,13790,89292,1173,1846,37125,19537,,,,39.82,34.80444
1998,TR723,Yozgat,6,324422,,13391,153914,6,15218,98351,2932,1114,39111,391,,,,39.82,34.80444
1999,TR723,Yozgat,6,350376,,30853,131497,6,18840,120928,2301,1443,41991,2523,,,,39.82,34.80444
2000,TR723,Yozgat,6,384010,,8523,171719,6,20774,113159,5479,3001,48700,12655,,,,39.82,34.80444
2001,TR723,Yozgat,6,387719,,14125,149793,6,18815,116805,14529,2890,52860,17902,,,,39.82,34.80444
2002,TR723,Yozgat,6,402241,,13049,139792,6,21041,117309,16725,,52150,42175,,,,39.82,34.80444
2003,TR723,Yozgat,6,374131,,16975,105324,6,25591,111720,31142,,50904,32475,,,,39.82,34.80444
2004,TR723,Yozgat,6,429504,,16653,152240,6,28433,120814,32461,,31704,47199,,,,39.82,34.80444
2005,TR723,Yozgat,6,452482,,21427,132547,6,40789,127256,49622,,39166,41675,,,,39.82,34.80444
2006,TR723,Yozgat,,494545,,13690,157339,,44648,133907,56857,,47236,40867,,,,39.82,34.80444
2007,TR723,Yozgat,,527866,,17319,161070,,53593,151187,61652,,43233,39811,1073,327,307,39.82,34.80444
2008,TR723,Yozgat,,534293,,18816,154365,,56856,156517,58816,,38221,50701,1103,319,323,39.82,34.80444
2009,TR723,Yozgat,,524908,,21244,161142,,55622,161296,47460,,34810,43333,1077,331,331,39.82,34.80444
2010,TR723,Yozgat,,507985,,20639,137152,,54076,168899,46238,,34563,46419,1067,288,355,39.82,34.80444
2011,TR723,Yozgat,,582029,,22906,181914,,60755,172093,47823,,32123,64415,1250,391,370,39.82,34.80444
2012,TR723,Yozgat,,602997,,19586,189679,,73719,174996,53660,,30467,60891,1331,419,386,39.82,34.80444
2013,TR723,Yozgat,,611149,,18039,185735,,82866,175615,64052,,31342,53499,1376,418,395,39.82,34.80444
2014,TR723,Yozgat,,630589,,9741,191648,,147097,177263,66303,,34102,4434,1458,443,410,39.82,34.80444
2015,TR723,Yozgat,,650035,,13084,192724,,158664,176959,61621,,36637,10346,1550,459,422,39.82,34.80444
1995,TR811,Zonguldak,380,1784353,,11175,1497793,380,33559,198226,10,1950,34756,6884,,,,41.45139,31.79305
1996,TR811,Zonguldak,401.3,1804915,,10225,1568684,401.3,29959,158753,112,1547,33535,2100,,,,41.45139,31.79305
1997,TR811,Zonguldak,478.3,2032956,,15542,1742708,478.3,35047,172247,75,2872,42916,21549,,,,41.45139,31.79305
1998,TR811,Zonguldak,488.3,2010273,,12955,1682291,488.3,65335,199039,28,4280,42307,4038,,,,41.45139,31.79305
1999,TR811,Zonguldak,478.3,1973230,,32716,1607476,478.3,61071,210935,163,3327,54739,2803,,,,41.45139,31.79305
2000,TR811,Zonguldak,478.3,2154744,,26513,1740368,478.3,45150,223579,499,2605,47453,68577,,,,41.45139,31.79305
2001,TR811,Zonguldak,500.7,1938133,,19813,1505526,500.7,85446,229079,2036,2280,43102,50851,,,,41.45139,31.79305
2002,TR811,Zonguldak,506.3,2067467,,20028,1610499,506.3,86835,229166,1347,,47441,72151,,,,41.45139,31.79305
2003,TR811,Zonguldak,506.3,2109370,,26931,1705295,506.3,53506,239831,1483,,46306,36018,,,,41.45139,31.79305
2004,TR811,Zonguldak,506.3,2262233,,25053,1814872,506.3,70632,273768,1493,,47438,28977,,,,41.45139,31.79305
2005,TR811,Zonguldak,506.3,2271942,,30211,1821862,506.3,76219,258855,868,,45867,38060,,,,41.45139,31.79305
2006,TR811,Zonguldak,,2348392,,54485,1826478,,83116,273376,975,,60349,49613,,,,41.45139,31.79305
2007,TR811,Zonguldak,,2392826,,51359,1860775,,86967,298767,861,,62653,31443,3885,3021,485,41.45139,31.79305
2008,TR811,Zonguldak,,2434195,,71241,1854554,,88341,332558,806,,53441,33254,3932,2995,537,41.45139,31.79305
2009,TR811,Zonguldak,,2512403,,70829,1911070,,114197,324343,779,,60023,31162,4053,3083,523,41.45139,31.79305
2010,TR811,Zonguldak,,2548789,,37672,1929992,,136236,338385,635,,60990,44880,4113,3114,546,41.45139,31.79305
2011,TR811,Zonguldak,,2656927,,33749,2008496,,138864,363610,840,,70699,40669,4339,3280,594,41.45139,31.79305
2012,TR811,Zonguldak,,2641657,,69199,1974958,,152014,356495,756,,63503,24732,4355,3256,588,41.45139,31.79305
2013,TR811,Zonguldak,,2693438,,59638,2026145,,154136,359947,647,,72151,20773,4477,3368,598,41.45139,31.79305
2014,TR811,Zonguldak,,2817753,,67540,2131705,,149605,380658,535,,66749,20962,4706,3560,636,41.45139,31.79305
2015,TR811,Zonguldak,,2788034,,78757,2099458,,155404,353772,1229,,73626,25788,4679,3523,594,41.45139,31.79305
1995,TR812,Karabuk,,218478,,,,,,,,,,,,,,41.20488,32.62768
1996,TR812,Karabuk,,245321,,1504,169804,,8630,51102,120,612,9490,4059,,,,41.20488,32.62768
1997,TR812,Karabuk,,227188,,2095,143672,,10065,57767,81,960,12043,505,,,,41.20488,32.62768
1998,TR812,Karabuk,,314945,,2714,216384,,12369,65641,99,1273,12434,4031,,,,41.20488,32.62768
1999,TR812,Karabuk,,332044,,4122,212883,,14119,68407,108,1606,14603,16196,,,,41.20488,32.62768
2000,TR812,Karabuk,,364603,,6744,249375,,15110,71731,206,1830,17225,2382,,,,41.20488,32.62768
2001,TR812,Karabuk,,511466,,5705,393736,,16648,74605,1607,1221,15577,2367,,,,41.20488,32.62768
2002,TR812,Karabuk,,446339,,6504,318406,,14799,69777,1341,,13347,22165,,,,41.20488,32.62768
2003,TR812,Karabuk,,520663,,6892,393145,,19191,70758,150,,14887,15640,,,,41.20488,32.62768
2004,TR812,Karabuk,,541743,,7252,404090,,20219,72182,124,,16389,21487,,,,41.20488,32.62768
2005,TR812,Karabuk,,599119,,9519,446952,,25653,80901,200,,18154,17741,,,,41.20488,32.62768
2006,TR812,Karabuk,,656858,,11040,489941,,28407,88762,442,,16147,22118,,,,41.20488,32.62768
2007,TR812,Karabuk,,680315,,27402,503720,,34461,92649,493,,18080,3510,3114,2306,424,41.20488,32.62768
2008,TR812,Karabuk,,732298,,17551,507693,,40120,143883,453,,17204,5394,3386,2348,665,41.20488,32.62768
2009,TR812,Karabuk,,745085,,14198,546199,,43067,109224,454,,18196,13746,3409,2499,500,41.20488,32.62768
2010,TR812,Karabuk,,774472,,16071,568018,,46637,114933,472,,18349,9991,3403,2496,505,41.20488,32.62768
2011,TR812,Karabuk,,881337,,15214,662933,,49174,124066,905,,19601,9444,4011,3017,565,41.20488,32.62768
2012,TR812,Karabuk,,994753,,25956,759227,,66616,119580,733,,18946,3695,4418,3372,531,41.20488,32.62768
2013,TR812,Karabuk,,1063204,,23098,815430,,77662,123311,695,,19673,3333,4618,3541,536,41.20488,32.62768
2014,TR812,Karabuk,,929805,,24696,678704,,76848,127190,544,,18416,3407,4019,2934,550,41.20488,32.62768
2015,TR812,Karabuk,,975548,,40741,721466,,79422,109730,1600,,18665,3925,4117,3044,463,41.20488,32.62768
1995,TR813,Bartin,0.5,161197,0.5,6336,60655,,7268,42655,66,166,4729,39322,,,,41.63583,32.3375
1996,TR813,Bartin,0.5,148595,0.5,7238,76872,,7911,47901,144,276,8093,160,,,,41.63583,32.3375
1997,TR813,Bartin,0.5,161844,0.5,6448,75153,,9141,54705,95,970,11761,3571,,,,41.63583,32.3375
1998,TR813,Bartin,0.5,153743,0.5,5367,68154,,9631,58624,226,165,10702,874,,,,41.63583,32.3375
1999,TR813,Bartin,0.5,166604,0.5,7363,70562,,11153,62748,235,359,13542,642,,,,41.63583,32.3375
2000,TR813,Bartin,0.5,154053,0.5,6304,43534,,11252,59676,329,999,11215,20744,,,,41.63583,32.3375
2001,TR813,Bartin,0.5,154601,0.5,25997,29614,,13931,65467,526,663,16541,1862,,,,41.63583,32.3375
2002,TR813,Bartin,0.5,160447,0.5,7168,39451,,13879,58085,297,,17008,24559,,,,41.63583,32.3375
2003,TR813,Bartin,0.5,177275,0.5,10119,63787,,13017,64397,181,,18054,7720,,,,41.63583,32.3375
2004,TR813,Bartin,0.5,186294,0.5,7736,57130,,22180,64997,251,,20984,13016,,,,41.63583,32.3375
2005,TR813,Bartin,0.5,208841,0.5,10526,79744,,23282,69204,413,,17901,7771,,,,41.63583,32.3375
2006,TR813,Bartin,,217078,,10999,67122,,24952,75040,294,,15547,23122,,,,41.63583,32.3375
2007,TR813,Bartin,,238856,,30776,73313,,31335,82213,401,,15340,5479,1311,403,451,41.63583,32.3375
2008,TR813,Bartin,,251034,,33916,66655,,34312,103325,340,,12486,,1354,360,557,41.63583,32.3375
2009,TR813,Bartin,,260006,,11399,88051,,39445,91593,388,,16359,12772,1380,467,486,41.63583,32.3375
2010,TR813,Bartin,,281731,,12513,101828,,42711,96266,446,,16846,11120,1501,542,513,41.63583,32.3375
2011,TR813,Bartin,,308808,,10595,117731,,42012,109166,666,,19222,9415,1649,629,583,41.63583,32.3375
2012,TR813,Bartin,,350297,,19477,158070,,42880,103795,675,,18082,7318,1859,839,551,41.63583,32.3375
2013,TR813,Bartin,,419067,,26934,218037,,41093,109266,665,,20378,2694,2216,1153,578,41.63583,32.3375
2014,TR813,Bartin,,432519,,29494,231471,,43207,104810,520,,19754,3264,2284,1222,553,41.63583,32.3375
2015,TR813,Bartin,,433187,,17828,264559,,33729,89563,477,,24647,2384,2271,1387,470,41.63583,32.3375
1995,TR821,Kastamonu,7.3,233413,,47882,76670,7.3,10179,67103,1209,1489,22320,6561,,,,41.37805,33.77528
1996,TR821,Kastamonu,7.3,266031,,8919,78914,7.3,11839,72862,1838,1722,25419,64518,,,,41.37805,33.77528
1997,TR821,Kastamonu,11.8,309190,,11195,162599,11.8,14290,81058,1089,2345,25986,10628,,,,41.37805,33.77528
1998,TR821,Kastamonu,12.5,323646,,12204,176228,12.5,15802,84094,1601,4082,25776,3859,,,,41.37805,33.77528
1999,TR821,Kastamonu,12.5,340587,,12267,175036,12.5,18787,92538,2192,4252,24851,10664,,,,41.37805,33.77528
2000,TR821,Kastamonu,12.6,361568,0.1,13139,164680,12.5,20710,106078,2103,2672,28781,23405,,,,41.37805,33.77528
2001,TR821,Kastamonu,17.7,351091,0.1,13236,175546,17.7,20807,94546,3050,3601,30937,9368,,,,41.37805,33.77528
2002,TR821,Kastamonu,7.4,372308,0.1,17291,182460,7.3,21907,100168,2004,,31285,17193,,,,41.37805,33.77528
2003,TR821,Kastamonu,7.5,342709,,15673,146650,7.5,28134,106485,2969,,21728,21070,,,,41.37805,33.77528
2004,TR821,Kastamonu,7.5,375854,,17711,168161,7.5,29487,105867,1981,,33653,18994,,,,41.37805,33.77528
2005,TR821,Kastamonu,7.5,408159,,24754,190804,7.5,40030,105501,3819,,32063,11187,,,,41.37805,33.77528
2006,TR821,Kastamonu,,442491,,26764,180506,,45059,130487,2756,,31816,25101,,,,41.37805,33.77528
2007,TR821,Kastamonu,,486892,,45352,196838,,57465,147337,7625,,27602,4672,1351,546,409,41.37805,33.77528
2008,TR821,Kastamonu,,582405,,40154,250286,,74948,186269,3560,,21239,5948,1616,694,517,41.37805,33.77528
2009,TR821,Kastamonu,,616686,,30088,301284,,66888,169922,3706,,22723,22074,1714,837,472,41.37805,33.77528
2010,TR821,Kastamonu,,636222,,30978,308024,,75272,175230,3865,,27869,14983,1761,853,485,41.37805,33.77528
2011,TR821,Kastamonu,,642439,,29743,281969,,79418,198372,5163,,33374,14401,1786,784,551,41.37805,33.77528
2012,TR821,Kastamonu,,648790,,35398,294775,,82307,186004,4329,,32886,13090,1803,819,517,41.37805,33.77528
2013,TR821,Kastamonu,,712613,,40194,333546,,93533,191035,4518,,35887,13900,1936,906,519,41.37805,33.77528
2014,TR821,Kastamonu,,778497,,45915,393674,,98535,185063,4441,,35522,15347,2110,1067,502,41.37805,33.77528
2015,TR821,Kastamonu,,683970,,43150,341967,,101730,138965,4438,,38830,14889,1836,918,373,41.37805,33.77528
1995,TR823,Sinop,,98055,,4607,26290,,5387,45427,476,868,7266,7734,,,,42.02683,35.16253
1996,TR823,Sinop,,104422,,2969,36508,,5929,49552,784,252,7908,520,,,,42.02683,35.16253
1997,TR823,Sinop,,108848,,3080,36692,,6817,52326,616,293,8555,469,,,,42.02683,35.16253
1998,TR823,Sinop,,121165,,8372,33721,,8141,58635,425,1065,10391,415,,,,42.02683,35.16253
1999,TR823,Sinop,,136568,,9493,36200,,9281,63414,590,1163,9920,6507,,,,42.02683,35.16253
2000,TR823,Sinop,,142397,,9960,30396,,11671,73673,874,916,12789,2118,,,,42.02683,35.16253
2001,TR823,Sinop,,142048,,4707,43067,,10367,66156,1358,399,13187,2807,,,,42.02683,35.16253
2002,TR823,Sinop,,141872,,11399,30883,,12081,69435,732,,11012,6330,,,,42.02683,35.16253
2003,TR823,Sinop,,151720,,14850,30116,,11962,66711,5288,,16963,5830,,,,42.02683,35.16253
2004,TR823,Sinop,,153591,,9386,33887,,14866,70615,433,,14615,9789,,,,42.02683,35.16253
2005,TR823,Sinop,,168729,,11456,30203,,19731,82402,1006,,11242,12689,,,,42.02683,35.16253
2006,TR823,Sinop,,193713,,12423,39213,,20825,87171,2492,,19967,11621,,,,42.02683,35.16253
2007,TR823,Sinop,,221284,,12649,45080,,28265,96092,3524,,20493,15181,1115,227,484,42.02683,35.16253
2008,TR823,Sinop,,234148,,14286,47548,,34316,107459,2506,,19418,8615,1166,237,535,42.02683,35.16253
2009,TR823,Sinop,,239313,,14549,55136,,26625,99868,1115,,25793,16228,1190,274,497,42.02683,35.16253
2010,TR823,Sinop,,268391,,15595,84461,,35772,106853,605,,9761,15345,1324,417,527,42.02683,35.16253
2011,TR823,Sinop,,319351,,17499,105494,,39001,119894,1293,,19556,16615,1573,520,591,42.02683,35.16253
2012,TR823,Sinop,,307083,,18766,83722,,43248,127491,1269,,19395,13193,1525,416,633,42.02683,35.16253
2013,TR823,Sinop,,306013,,24400,77167,,48404,128209,1732,,19285,6815,1496,377,627,42.02683,35.16253
2014,TR823,Sinop,,328022,,25400,71727,,66683,136943,1894,,22391,2984,1604,351,670,42.02683,35.16253
2015,TR823,Sinop,,328065,,27688,65248,,64774,141147,1216,,22769,5224,1607,320,691,42.02683,35.16253
1995,TR831,Samsun,1475.5,695219,1465.1,206534,110046,10.4,46182,250675,13218,3040,33960,31564,,,,41.28667,36.33
1996,TR831,Samsun,1472.9,742929,1462.5,27388,351452,10.4,52444,246952,11455,4223,44964,4051,,,,41.28667,36.33
1997,TR831,Samsun,1472.9,796327,1462.5,144469,242771,10.4,58615,279898,8092,4599,53178,4705,,,,41.28667,36.33
1998,TR831,Samsun,1474.9,970110,1464.5,158269,322930,10.4,74767,339269,12817,6959,54094,1005,,,,41.28667,36.33
1999,TR831,Samsun,1474.9,1015359,1464.5,133688,328734,10.4,82435,399005,6425,5391,49763,9918,,,,41.28667,36.33
2000,TR831,Samsun,1498.8,1076309,1488.4,147569,356950,10.4,95084,388525,15291,6207,57023,9660,,,,41.28667,36.33
2001,TR831,Samsun,1498.8,1066574,1488.4,42000,312037,10.4,97000,390000,16000,11000,53888,144649,,,,41.28667,36.33
2002,TR831,Samsun,1498.8,1140018,1488.4,44375,351547,10.4,102848,399868,14995,,62974,163411,,,,41.28667,36.33
2003,TR831,Samsun,1761.4,1194816,1488.4,74324,448460,273,117040,427460,20114,,84957,22461,,,,41.28667,36.33
2004,TR831,Samsun,1761.4,1259763,1488.4,51076,425789,273,134332,443360,18779,,74964,111463,,,,41.28667,36.33
2005,TR831,Samsun,1601.4,1390797,1328.4,44797,505327,273,155920,508066,19005,,70767,86916,,,,41.28667,36.33
2006,TR831,Samsun,,1674028,,49757,665212,,191427,583710,34224,,67406,82292,,,,41.28667,36.33
2007,TR831,Samsun,,1854457,,75920,778871,,206820,577320,60125,,62182,93218,1509,634,470,41.28667,36.33
2008,TR831,Samsun,,1959868,,98843,802636,,229576,637952,45074,,76959,68829,1589,651,517,41.28667,36.33
2009,TR831,Samsun,,1927090,,79991,805884,,229990,643884,32072,,51629,83639,1542,645,515,41.28667,36.33
2010,TR831,Samsun,,1908558,,91465,706623,,293697,659011,21766,,50894,85103,1524,564,526,41.28667,36.33
2011,TR831,Samsun,,2435978,,99857,1074480,,323754,727369,31659,,89297,89563,1946,858,581,41.28667,36.33
2012,TR831,Samsun,,2514302,,114576,1041873,,451006,736197,30194,,73802,66654,2009,832,588,41.28667,36.33
2013,TR831,Samsun,,2556962,,127523,1070108,,441205,737399,40536,,84912,55279,2026,848,584,41.28667,36.33
2014,TR831,Samsun,,2665874,,109573,1118961,,517386,738240,37866,,89384,54463,2099,881,581,41.28667,36.33
2015,TR831,Samsun,,2767184,,86517,1177464,,595676,759747,26957,,84436,36387,2162,920,594,41.28667,36.33
1995,TR832,Tokat,138,248678,122.5,9940,88345,15.5,12421,105365,1328,649,17076,13554,,,,40.31389,36.55444
1996,TR832,Tokat,138,266682,122.5,1643,117119,15.5,15384,112200,1576,1014,17462,284,,,,40.31389,36.55444
1997,TR832,Tokat,137.3,286148,121.8,10691,131630,15.5,13236,104383,4856,2002,18751,599,,,,40.31389,36.55444
1998,TR832,Tokat,137.3,343130,121.8,11715,149616,15.5,19706,134328,6123,1789,19289,564,,,,40.31389,36.55444
1999,TR832,Tokat,136,367423,121.8,15594,146444,14.2,21341,145624,6600,1219,24946,5655,,,,40.31389,36.55444
2000,TR832,Tokat,136,402929,121.8,17615,152379,14.2,28505,156058,6447,2287,21624,18014,,,,40.31389,36.55444
2001,TR832,Tokat,136.7,380489,122.5,20319,135163,14.2,20544,158014,9156,1535,31128,4630,,,,40.31389,36.55444
2002,TR832,Tokat,136.7,347751,122.5,16321,111496,14.2,19056,138727,9456,,32981,19714,,,,40.31389,36.55444
2003,TR832,Tokat,136.7,388755,122.5,23676,116216,14.2,24484,162862,6507,,32226,22784,,,,40.31389,36.55444
2004,TR832,Tokat,136.7,399782,122.5,27903,118150,14.2,32282,171404,6449,,21624,21970,,,,40.31389,36.55444
2005,TR832,Tokat,136.7,419759,122.5,31599,110505,14.2,38952,187526,6592,,26398,18187,,,,40.31389,36.55444
2006,TR832,Tokat,,458016,,34817,109429,,49917,193900,7313,,32871,29768,,,,40.31389,36.55444
2007,TR832,Tokat,,506561,,33268,113813,,65280,219165,7147,,36781,31108,816,183,353,40.31389,36.55444
2008,TR832,Tokat,,604610,,30373,181522,,71698,225611,10312,,35976,49119,980,294,366,40.31389,36.55444
2009,TR832,Tokat,,622323,,37259,194276,,82147,240454,6780,,31847,29560,997,311,385,40.31389,36.55444
2010,TR832,Tokat,,629125,,42772,152028,,98521,261318,5008,,39055,30423,1018,246,423,40.31389,36.55444
2011,TR832,Tokat,,626512,,48377,171930,,86633,249659,3906,,34157,31850,1030,283,410,40.31389,36.55444
2012,TR832,Tokat,,727466,,48952,248736,,96540,262283,4487,,34222,32245,1185,405,427,40.31389,36.55444
2013,TR832,Tokat,,702246,,47256,208740,,104082,264372,5289,,35563,36945,1173,349,442,40.31389,36.55444
2014,TR832,Tokat,,693887,,3338,174242,,194393,256127,6649,,41611,17528,1161,291,428,40.31389,36.55444
2015,TR832,Tokat,,786518,,4098,238849,,202665,274766,5727,,41216,19198,1324,402,463,40.31389,36.55444
1995,TR833,Çorum,10.4,327298,,6840,164371,10.4,17437,102061,2454,2134,17000,15001,,,,40.54889,34.95333
1996,TR833,Çorum,10.4,366908,,7768,189531,10.4,23724,116037,3773,2340,18133,5602,,,,40.54889,34.95333
1997,TR833,Çorum,10.4,397379,,9827,188527,10.4,26306,124797,4092,21315,21178,1337,,,,40.54889,34.95333
1998,TR833,Çorum,10,416657,,9650,205997,10.4,26173,133873,4694,7342,27550,1378,,,,40.54889,34.95333
1999,TR833,Çorum,10.4,438102,,9368,204974,10.4,31463,146626,6140,10660,27677,1194,,,,40.54889,34.95333
2000,TR833,Çorum,10.4,442720,,32035,187920,10.4,33261,145726,5569,8890,21250,8069,,,,40.54889,34.95333
2001,TR833,Çorum,10.4,431074,,27733,163236,10.4,36686,150190,9488,11134,24011,8596,,,,40.54889,34.95333
2002,TR833,Çorum,10.4,431540,,19690,173931,10.4,35806,144302,6658,,32102,19051,,,,40.54889,34.95333
2003,TR833,Çorum,10.4,448035,,12796,175553,10.4,38689,157171,10010,,34981,18835,,,,40.54889,34.95333
2004,TR833,Çorum,10.4,480876,,9686,206733,10.4,48636,157703,14133,,20629,23356,,,,40.54889,34.95333
2005,TR833,Çorum,17.9,536061,,34806,229556,17.9,48837,171282,9948,,25421,16210,,,,40.54889,34.95333
2006,TR833,Çorum,,598335,,15925,276695,,60428,188244,14607,,24326,18109,,,,40.54889,34.95333
2007,TR833,Çorum,,643338,,19910,274480,,70452,199165,11819,,21105,46406,1170,499,362,40.54889,34.95333
2008,TR833,Çorum,,659109,,20970,274770,,76733,202115,14787,,28453,41281,1208,504,371,40.54889,34.95333
2009,TR833,Çorum,,626626,,23704,231982,,80407,214570,9966,,28071,37926,1159,429,397,40.54889,34.95333
2010,TR833,Çorum,,676744,,26663,263621,,90573,224659,12063,,23712,35454,1264,492,420,40.54889,34.95333
2011,TR833,Çorum,,765139,,32173,313223,,91677,248305,19442,,30971,29347,1431,586,464,40.54889,34.95333
2012,TR833,Çorum,,802298,,44499,337983,,109299,243376,12362,,33251,21528,1514,638,459,40.54889,34.95333
2013,TR833,Çorum,,800430,,60495,313092,,117826,251282,13692,,33892,10151,1504,588,472,40.54889,34.95333
2014,TR833,Çorum,,873427,,66645,346666,,142084,259215,13238,,35753,9826,1657,658,492,40.54889,34.95333
2015,TR833,Çorum,,949158,,76908,361278,,148172,295550,15083,,40606,11561,1807,688,563,40.54889,34.95333
1995,TR834,Amasya,8.6,226660,0.8,12593,103400,7.8,7640,70612,2809,1755,18741,9110,,,,40.65333,35.83306
1996,TR834,Amasya,8.6,250110,0.8,12621,119527,7.8,7586,61549,2444,540,43501,2342,,,,40.65333,35.83306
1997,TR834,Amasya,8.6,278647,0.8,16899,111674,7.8,14008,75971,19641,1121,20829,18504,,,,40.65333,35.83306
1998,TR834,Amasya,8.6,301191,0.8,18973,134659,7.8,15901,87829,7983,2001,24266,9579,,,,40.65333,35.83306
1999,TR834,Amasya,8.6,307267,0.8,17812,124188,7.8,15208,99042,7800,1358,37642,4217,,,,40.65333,35.83306
2000,TR834,Amasya,8.6,320428,0.8,18758,141631,7.8,17355,101706,7027,1103,28106,4742,,,,40.65333,35.83306
