Brand,Ownership Type,Longitude,Latitude
Starbucks,1,-58.4,-34.58
Starbucks,1,-58.36,-34.6
Starbucks,1,-58.45,-34.56
Starbucks,1,-58.38,-34.61
Starbucks,1,-58.37,-34.6
Starbucks,1,-58.38,-34.61
Starbucks,1,-58.37,-34.61
Starbucks,1,-58.39,-34.59
Starbucks,1,-58.38,-34.62
Starbucks,1,-58.43,-34.62
Starbucks,1,-58.43,-34.62
Starbucks,1,-58.39,-34.6
Starbucks,1,-58.43,-34.58
Starbucks,1,-58.52,-34.61
Starbucks,1,-58.41,-34.58
Starbucks,1,-58.47,-34.54
Starbucks,1,-58.41,-34.6
Starbucks,1,-58.39,-34.6
Starbucks,1,-58.37,-34.6
Starbucks,1,-58.37,-34.6
Starbucks,1,-58.38,-34.62
Starbucks,1,-58.57,-34.64
Starbucks,1,-58.37,-34.62
Starbucks,1,-58.41,-34.59
Starbucks,1,-58.37,-34.61
Starbucks,1,-58.4,-34.58
Starbucks,1,-58.39,-34.59
Starbucks,1,-58.37,-34.6
Starbucks,1,-58.41,-34.58
Starbucks,1,-58.38,-34.6
Starbucks,1,-58.44,-34.57
Starbucks,1,-58.4,-34.6
Starbucks,1,-58.37,-34.61
Starbucks,1,-58.46,-34.54
Starbucks,1,-58.41,-34.59
Starbucks,1,-58.41,-34.6
Starbucks,1,-58.48,-34.58
Starbucks,1,-58.4,-34.59
Starbucks,1,-58.4,-34.77
Starbucks,1,-58.49,-34.55
Starbucks,1,-58.38,-34.6
Starbucks,1,-58.44,-34.6
Starbucks,1,-58.39,-34.6
Starbucks,1,-58.44,-34.57
Starbucks,1,-58.44,-34.62
Starbucks,1,-58.45,-34.55
Starbucks,1,-58.37,-34.6
Starbucks,1,-68.84,-32.89
Starbucks,1,-68.84,-32.88
Starbucks,1,-68.78,-32.9
Starbucks,1,-68.84,-32.89
Starbucks,1,-68.83,-32.92
Starbucks,1,-60.65,-32.94
Starbucks,1,-60.67,-32.93
Starbucks,1,-60.7,-32.96
Starbucks,1,-64.31,-31.32
Starbucks,1,-64.2,-31.44
Starbucks,1,-64.19,-31.41
Starbucks,1,-64.24,-31.36
Starbucks,1,-64.2,-31.41
Starbucks,1,-64.2,-31.44
Starbucks,2,16.32,48.11
Starbucks,2,13.01,47.82
Starbucks,2,13.04,47.8
Starbucks,2,13.05,47.81
Starbucks,1,16.56,48.13
Starbucks,2,16.35,48.2
Starbucks,2,16.39,48.24
Starbucks,2,16.38,48.18
Starbucks,2,16.37,48.21
Starbucks,2,16.37,48.21
Starbucks,2,16.35,48.22
Starbucks,2,16.36,48.2
Starbucks,2,16.38,48.21
Starbucks,2,16.39,48.21
Starbucks,2,16.43,48.24
Starbucks,2,16.34,48.2
Starbucks,2,16.36,48.21
Starbucks,2,16.37,48.2
Starbucks,1,151.29,-33.8
Starbucks,1,150.82,-33.77
Starbucks,1,151,-33.82
Starbucks,1,151.21,-33.88
Starbucks,1,151.21,-33.87
Starbucks,1,151.21,-33.87
Starbucks,1,151.21,-33.87
Starbucks,1,151.21,-33.88
Starbucks,1,150.99,-33.8
Starbucks,1,153.03,-27.47
Starbucks,1,153.02,-27.47
Starbucks,1,153.43,-28.03
Starbucks,1,153.03,-27.39
Starbucks,1,153.43,-28.01
Starbucks,1,153.43,-28.02
Starbucks,1,153.09,-27.54
Starbucks,1,153.03,-27.5
Starbucks,1,144.97,-37.81
Starbucks,1,144.97,-37.82
Starbucks,1,144.95,-37.82
Starbucks,1,144.97,-37.81
Starbucks,1,144.96,-37.81
Starbucks,1,-70.04,12.57
Starbucks,1,-70.04,12.52
Starbucks,1,-70.04,12.52
Starbucks,1,49.85,40.38
Starbucks,1,49.86,40.38
Starbucks,1,49.85,40.4
Starbucks,1,48.9,39.95
Starbucks,1,4.38,50.84
Starbucks,1,4.35,50.83
Starbucks,1,4.33,50.83
Starbucks,1,4.41,50.84
Starbucks,1,04.04,51.22
Starbucks,1,4.36,50.84
Starbucks,1,4.36,50.85
Starbucks,1,4.42,51.22
Starbucks,1,3.19,51.27
Starbucks,1,4.36,50.85
Starbucks,1,3.72,51.04
Starbucks,1,3.72,51.05
Starbucks,1,4.71,50.88
Starbucks,1,4.36,50.86
Starbucks,1,4.49,50.9
Starbucks,1,4.48,50.87
Starbucks,1,4.48,50.9
Starbucks,1,5.57,50.63
Starbucks,1,4.86,50.47
Starbucks,1,25.62,42.42
Starbucks,1,23.43,42.64
Starbucks,1,23.32,42.66
Starbucks,1,23.32,42.7
Starbucks,1,23.32,42.69
Starbucks,1,50.52,26.21
Starbucks,1,50.59,26.23
Starbucks,1,50.6,26.02
Starbucks,1,50.58,26.22
Starbucks,1,50.57,26.21
Starbucks,1,50.55,26.22
Starbucks,1,50.59,26.23
Starbucks,1,50.6,26.22
Starbucks,1,50.61,26.21
Starbucks,1,50.54,26.23
Starbucks,1,50.58,26.21
Starbucks,1,50.59,26.24
Starbucks,1,50.55,26.23
Starbucks,1,50.54,26.23
Starbucks,1,50.58,26.24
Starbucks,1,50.55,26.23
Starbucks,1,50.58,26.22
Starbucks,1,50.58,26.14
Starbucks,1,50.57,26.23
Starbucks,1,50.61,26.25
Starbucks,1,50.63,26.27
Starbucks,1,114.4,04.03
Starbucks,1,114.94,4.91
Starbucks,1,114.94,4.91
Starbucks,1,115,5
Starbucks,1,114.73,4.77
Starbucks,1,-63.19,-17.75
Starbucks,1,-63.18,-17.8
Starbucks,1,-63.18,-17.75
Starbucks,1,-63.2,-17.75
Starbucks,2,-43.11,-22.9
Starbucks,2,-43.12,-22.9
Starbucks,2,-43.12,-22.9
Starbucks,2,-43.23,-22.98
Starbucks,2,-43.25,-22.81
Starbucks,2,-43.18,-22.9
Starbucks,2,-43.2,-22.98
Starbucks,2,-43.22,-22.98
Starbucks,2,-43.18,-22.96
Starbucks,2,-43.18,-22.95
Starbucks,2,-43.24,-22.92
Starbucks,2,-43.36,-23
Starbucks,2,-43.28,-22.89
Starbucks,2,-43.27,-22.88
Starbucks,2,-43.18,-22.9
Starbucks,2,-43.18,-22.91
Starbucks,2,-43.18,-22.9
Starbucks,2,-43.18,-22.94
Starbucks,2,-43.36,-22.98
Starbucks,2,-43.32,-23
Starbucks,2,-43.19,-22.98
Starbucks,2,-43.22,-22.98
Starbucks,2,-43.36,-23
Starbucks,2,-46.63,-23.62
Starbucks,2,-46.83,-23.5
Starbucks,2,-49.05,-22.34
Starbucks,2,-47.06,-22.85
Starbucks,2,-47.08,-22.93
Starbucks,2,-47.14,-23.01
Starbucks,2,-47.15,-23.01
Starbucks,2,-47.05,-22.9
Starbucks,2,-47.03,-22.89
Starbucks,2,-47.02,-22.86
Starbucks,2,-46.49,-23.43
Starbucks,2,-46.49,-23.43
Starbucks,2,-46.48,-23.43
Starbucks,2,-46.55,-23.49
Starbucks,2,-46.54,-23.44
Starbucks,2,-46.48,-23.43
Starbucks,2,-47.65,-22.7
Starbucks,2,-47.87,-21.18
Starbucks,2,-47.82,-21.21
Starbucks,2,-47.81,-21.21
Starbucks,2,-46.53,-23.67
Starbucks,2,-46.31,-23.98
Starbucks,2,-46.54,-23.73
Starbucks,2,-46.55,-23.69
Starbucks,2,-46.58,-23.63
Starbucks,2,-45.89,-23.19
Starbucks,2,-45.88,-23.2
Starbucks,2,-49.4,-20.84
Starbucks,2,-49.39,-20.84
Starbucks,2,-45.89,-23.22
Starbucks,2,-46.64,-23.57
Starbucks,2,-46.66,-23.63
Starbucks,2,-46.66,-23.56
